"registration_area","edrpou","public_name","тип_працівника","спеціальність","count"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","асистент","Лабораторна справа (клініка)","12"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","асистент","Лікувальна справа","3"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","асистент","Лабораторна справа (гігієна)","3"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","асистент","Лікувальна справа (невідкладні стани)","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","асистент","Медична статистика","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","асистент","Сестринська справа","134"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","асистент","Акушерська справа","6"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","асистент","Сестринська справа (операційна)","11"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","асистент","Медико-профілактична справа","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","асистент","Рентгенологія","11"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","відділ кадрів",NULL,"1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","Виконуючий функції адміністрування медичних записів","Організація і управління охороною здоров'я","2"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","Виконуючий функції адміністрування медичних записів",NULL,"1"
